classe,predicado,alcance,betweenness,posicao_alcance,posicao_betweenness
Class DoS/DDoS,AVG > 63.44,1.0259474131304993,0.0031051814425936,44,197
Class DoS/DDoS,AVG <= 351.81,1.0197675457352624,0.0,45,348
Class DoS/DDoS,syn_count > 0.5,1.018218483229146,0.0294553652096874,46,27
Class DoS/DDoS,Header_Length > 11.88,1.0172866531784468,0.0,47,348
Class DoS/DDoS,Rate > 869.07,1.0132645059920289,0.0,48,348
Class DoS/DDoS,Number > 27.5,1.012980359591503,0.0117847775935721,49,67
Class DoS/DDoS,Variance > 16.85,0.9833245873621882,0.0001842056787979,50,287
Class DoS/DDoS,Header_Length > 20.38,0.9350011734826033,0.0,51,348
Class DoS/DDoS,Variance <= 574705.44,0.9312017078434784,0.0016008350657438,52,234
Class DoS/DDoS,Min > 57.0,0.9274983685475272,0.0126049314491723,53,58
Class DoS/DDoS,Time_To_Live > 62.25,0.9260451651511912,0.0016008350657438,54,234
Class DoS/DDoS,Time_To_Live <= 147.4,0.924216254760839,0.0,55,348
Class DoS/DDoS,Tot sum > 3520.0,0.9224088770817908,0.0016008350657438,56,234
Class DoS/DDoS,syn_count <= 0.5,0.9180319387312168,0.1209003271843723,57,3
Class DoS/DDoS,Max > 366.5,0.9095766453434888,0.0013420699455277,58,259
Class DoS/DDoS,ICMP <= 0.05,0.9085295671702056,0.0226572984921449,59,35
Class DoS/DDoS,IPv <= 1.0,0.8924904076109034,0.0016008350657438,60,234
Class DoS/DDoS,Std <= 90.03,0.8890813445473,0.001605220915239,61,233
Class DoS/DDoS,TCP > 0.35,0.8807682649949563,0.0013596133435085,62,253
Class DoS/DDoS,Time_To_Live > 49.1,0.8757687924516047,0.0016183784637246,63,232
Class DoS/DDoS,HTTPS <= 0.11,0.8733859357169576,0.0133899985088111,64,53
Class DoS/DDoS,ack_flag_number > 0.39,0.8730788345416677,0.0013420699455277,65,259
Class DoS/DDoS,Number > 55.0,0.8708287111668815,0.0169381507504188,66,44
Class DoS/DDoS,Time_To_Live <= 220.45,0.8707831899976735,0.0237449891669517,67,34
Class DoS/DDoS,Time_To_Live <= 72.19,0.8698286066821381,0.0045042674315588,68,156
Class DoS/DDoS,Std <= 587.83,0.8672236058138751,0.0065217581993456,69,106
Class DoS/DDoS,AVG > 499.45,0.8649935851869518,0.0013420699455277,70,259
Class DoS/DDoS,fin_flag_number <= 0.05,0.8626241458173683,0.0836381498732489,71,4
Class DoS/DDoS,Header_Length <= 11.88,0.861126585922599,0.0106532284238134,72,74
Class DoS/DDoS,Time_To_Live > 69.8,0.8593674629279142,0.0,73,348
Class DoS/DDoS,Max > 1511.0,0.8590671258450628,0.0013420699455277,74,259
Class DoS/DDoS,UDP <= 0.58,0.8583441877318284,0.0040569107830495,75,169
Class DoS/DDoS,ack_flag_number > 0.55,0.8376043267044735,0.0112891766006157,76,70
Class DoS/DDoS,Tot sum > 639.0,0.8257761023803993,0.0017060954536284,77,230
Class DoS/DDoS,Std <= 4.43,0.8214683311727693,0.0052103892002842,78,139
Class DoS/DDoS,UDP <= 0.55,0.8194297686446185,0.0045349683780251,79,152
Class DoS/DDoS,HTTPS > 0.25,0.8160260936470725,0.0066401761357157,80,101
Class DoS/DDoS,syn_flag_number <= 0.15,0.8150471675170766,0.0078769856933589,81,90
Class DoS/DDoS,Time_To_Live > 63.45,0.8108200242348065,0.0047937334982412,82,145
Class DoS/DDoS,Header_Length > 9.8,0.809624179993189,0.0,83,348
Class DoS/DDoS,ack_flag_number > 0.1,0.8086577464035976,0.0164030771120058,84,46
Class DoS/DDoS,HTTPS > 0.15,0.8032792169163399,0.0505425295825548,85,12
Class DoS/DDoS,IAT <= 0.01,0.7972231078167046,0.0609282211871617,86,9
Class DoS/DDoS,Time_To_Live <= 193.0,0.7949337012743001,0.0,87,348
Class DoS/DDoS,Time_To_Live <= 232.25,0.7947723289602928,0.0034735928001894,88,186
